Campaign Name,Ad Group,Headline 1,Headline 2,Headline 3,Description,Final URL,Path 1,Path 2
Firestick Streaming,Firestick Setup,Unlimited TV on Firestick,StreamStickPro Premium Access,No Cable Needed,"Get thousands of movies, shows & live sports on your Firestick. Easy setup. Visit StreamStickPro.com",https://streamstickpro.com,firestick,setup
Firestick Streaming,Firestick Setup,Firestick Setup in 5 Min,Easy Step-by-Step Guide,Start Streaming Today,"Get streaming in 5 minutes. Simple Firestick setup guide at StreamStickPro.com",https://streamstickpro.com,firestick,guide
Firestick Streaming,Firestick Content,Latest Movies on Firestick,New Releases Streaming,Movie Theater at Home,"Watch new releases the day they drop. Firestick movie guide at StreamStickPro.com",https://streamstickpro.com,firestick,movies
Firestick Streaming,Firestick Content,Live Sports on Firestick,NFL NBA MLB Streaming,All Games All Leagues,"Watch every game live on Firestick. NFL, NBA, MLB & more. Premium access at StreamStickPro.com",https://streamstickpro.com,firestick,sports
Firestick Streaming,Firestick Content,Binge-Watch Paradise,Unlimited Show Library,Firestick Streaming,"Binge entire seasons. Unlimited shows on Firestick. Setup guide at StreamStickPro.com",https://streamstickpro.com,firestick,shows
Android Box Setup,ONN Box Guide,ONN Android Box Setup,Smart TV in Minutes,StreamStickPro Guide,"Transform any TV into a Smart TV with ONN Android Box. Easy setup guide at StreamStickPro.com",https://streamstickpro.com,android-box,setup
Android Box Setup,ONN Box Guide,ONN Android Box Guide,Maximum Streaming Power,Thousands of Apps,"Unlock full ONN Box potential. Complete guide & setup at StreamStickPro.com",https://streamstickpro.com,android-box,guide
Android Box Setup,Android Box Content,International TV Channels,Global Content on Android Box,50+ Countries Available,"Watch channels from UK, Canada, India & more. Android Box setup guide at StreamStickPro.com",https://streamstickpro.com,android-box,channels
Android Box Setup,Android Box Content,24/7 Live TV Streaming,Android Box Live Channels,News Sports Entertainment,"Watch live TV 24/7 on Android Box. Complete setup guide at StreamStickPro.com",https://streamstickpro.com,android-box,live-tv
Android Box Setup,Android Box Content,Documentaries on Android Box,Educational Content Library,Learn While You Watch,"Thousands of documentaries. Android Box setup at StreamStickPro.com",https://streamstickpro.com,android-box,documentaries
Smart TV Upgrade,Smart TV Setup,Upgrade TV to Smart TV,Android Box Solution,Save $1000s,"Don't buy new TV! Upgrade with Android Box. Complete guide at StreamStickPro.com",https://streamstickpro.com,smart-tv,upgrade
Smart TV Upgrade,Smart TV Setup,Transform Your TV Today,Smart TV in Minutes,Easy Setup Guide,"Turn any TV into Smart TV. Complete guide at StreamStickPro.com",https://streamstickpro.com,smart-tv,setup
