Row Type,Action,Status,Campaign,Ad Group,Keyword,Match Type,Final URL,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Campaign Type,Campaign Subtype,Budget,Budget Type,Target Network,Languages,Location,Bid Strategy Type
Campaign,Add,Enabled,StreamStick Pro - IPTV Subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,Search,Standard,10,Daily,Google search,English,"United States,Canada",Maximize Conversions
Campaign,Add,Enabled,StreamStick Pro - FireStick Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,Search,Standard,10,Daily,Google search,English,"United States,Canada",Maximize Conversions
Ad Group,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - FireStick Sales,FireStick IPTV Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - FireStick Sales,Jailbroken FireStick Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - FireStick Sales,Fire TV Device Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,StreamStick Pro - FireStick Sales,Streaming Device General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,buy iptv subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv subscription usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,best iptv service usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,cheap iptv service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,premium iptv subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv service usa canada,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv monthly subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv annual plan,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv 12 month subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv streaming service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,best iptv 2025,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,top iptv provider usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv service no buffering,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,hd iptv subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,4k iptv service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv channels subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,iptv live tv subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,affordable iptv service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,[buy iptv subscription],Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,[best iptv service usa],Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,IPTV Direct - Buyer Intent,[iptv subscription usa],Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,jailbroken firestick for sale,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,preloaded firestick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,jailbroken fire stick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,buy jailbroken firestick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,preloaded amazon fire stick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,firestick jailbreak service,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,jailbroke fire tv stick,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,preloaded fire tv,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,fully loaded firestick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,fully loaded fire stick buy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,jailbroken fire tv,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,custom firestick preloaded,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,firestick with apps preloaded,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,iptv preloaded firestick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,jailbroken streaming device,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,buy preloaded streaming stick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,fire stick fully loaded usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Jailbroken & Preloaded Devices,sideloaded firestick buy,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,cut the cord streaming service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,cancel cable alternative usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,cord cutting live tv,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,cable tv replacement streaming,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,no cable live tv service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,best cord cutting service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,drop cable watch live tv,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,stream tv without cable,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,online tv replacement cable,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Cable Cutter Cord Cutter,live tv cord cutting usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,live tv streaming service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,watch live tv online usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,stream live sports online,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,live sports streaming subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,live tv app no cable,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,sports live streaming service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,nfl live stream service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,nba live streaming subscription,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,watch local channels streaming,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Live TV Streaming,live news streaming service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,iptv free trial usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,try iptv free,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,iptv 24 hour trial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,cheap streaming service usa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,low cost live tv streaming,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,iptv no contract,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,cancel anytime streaming service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,affordable iptv no commitment,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,streaming service under $10,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - IPTV Subscriptions,Free Trial Low Price,iptv trial subscription,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,StreamStick Pro - FireStick Sales,FireStick IPTV Setup,iptv for firestick,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
