ad_id,channel,audience,headline,primary_text,description,cta,keywords,notes
AD-0001,YouTube,Returning IPTV users,Upgrade your streaming setup | Secure Stripe checkout with card + wallet options,Upgrade your streaming setup. Secure Stripe checkout with card + wallet options. 24/7 support and setup tutorials included. Easy renewals and support when you need it.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Compare plans and device bundles,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0002,Facebook,Families replacing cable,One app. Cleaner streaming experience | Shipping included on device bundles,One app. Cleaner streaming experience. Shipping included on device bundles. Shipping included on device bundles. No long contracts required for subscription plans.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Shop Fire Stick and ONN options,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0003,YouTube,Budget-conscious streamers,Built for Fire Stick and ONN | 24/7 support,"Built for Fire Stick and ONN. 24/7 support and setup tutorials included. Secure Stripe checkout with card + wallet options. Built for Fire Stick HD, 4K, 4K Max, and ONN devices.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,See pricing and start today,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0004,Facebook,ONN Google TV users,Ready in about 10 minutes | 36-hour subscription trial available,"Ready in about 10 minutes. 36-hour subscription trial available. 18,000+ live channels and 100,000+ movies & series. Works with IPTV Smarters Pro and TiviMate.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Get setup support and stream tonight,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0005,YouTube,Fire Stick users,Get premium channels without cable contracts | 1-year service included on device bundles,Get premium channels without cable contracts. 1-year service included on device bundles. 1-year service included on device bundles. Fast setup with clear step-by-step guidance.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Visit StreamStickPro now,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0006,Facebook,Cord-cutters,"Stop paying cable prices | 18,000+ live channels","Stop paying cable prices. 18,000+ live channels and 100,000+ movies & series. 36-hour subscription trial available. Trusted by thousands of streamers.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Start your 36-hour subscription trial,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0007,YouTube,Returning IPTV users,Upgrade your streaming setup | Secure Stripe checkout with card + wallet options,Upgrade your streaming setup. Secure Stripe checkout with card + wallet options. 24/7 support and setup tutorials included. Easy renewals and support when you need it.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Compare plans and device bundles,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0008,Facebook,Families replacing cable,One app. Cleaner streaming experience | Shipping included on device bundles,One app. Cleaner streaming experience. Shipping included on device bundles. Shipping included on device bundles. No long contracts required for subscription plans.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Shop Fire Stick and ONN options,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0009,YouTube,Budget-conscious streamers,Built for Fire Stick and ONN | 24/7 support,"Built for Fire Stick and ONN. 24/7 support and setup tutorials included. Secure Stripe checkout with card + wallet options. Built for Fire Stick HD, 4K, 4K Max, and ONN devices.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,See pricing and start today,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0010,Facebook,ONN Google TV users,Ready in about 10 minutes | 36-hour subscription trial available,"Ready in about 10 minutes. 36-hour subscription trial available. 18,000+ live channels and 100,000+ movies & series. Works with IPTV Smarters Pro and TiviMate.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Get setup support and stream tonight,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0011,YouTube,Fire Stick users,Get premium channels without cable contracts | 1-year service included on device bundles,Get premium channels without cable contracts. 1-year service included on device bundles. 1-year service included on device bundles. Fast setup with clear step-by-step guidance.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Visit StreamStickPro now,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0012,Facebook,Cord-cutters,"Stop paying cable prices | 18,000+ live channels","Stop paying cable prices. 18,000+ live channels and 100,000+ movies & series. 36-hour subscription trial available. Trusted by thousands of streamers.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Start your 36-hour subscription trial,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0013,YouTube,Returning IPTV users,Upgrade your streaming setup | Secure Stripe checkout with card + wallet options,Upgrade your streaming setup. Secure Stripe checkout with card + wallet options. 24/7 support and setup tutorials included. Easy renewals and support when you need it.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Compare plans and device bundles,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0014,Facebook,Families replacing cable,One app. Cleaner streaming experience | Shipping included on device bundles,One app. Cleaner streaming experience. Shipping included on device bundles. Shipping included on device bundles. No long contracts required for subscription plans.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Shop Fire Stick and ONN options,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0015,YouTube,Budget-conscious streamers,Built for Fire Stick and ONN | 24/7 support,"Built for Fire Stick and ONN. 24/7 support and setup tutorials included. Secure Stripe checkout with card + wallet options. Built for Fire Stick HD, 4K, 4K Max, and ONN devices.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,See pricing and start today,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0016,Facebook,ONN Google TV users,Ready in about 10 minutes | 36-hour subscription trial available,"Ready in about 10 minutes. 36-hour subscription trial available. 18,000+ live channels and 100,000+ movies & series. Works with IPTV Smarters Pro and TiviMate.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Get setup support and stream tonight,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0017,YouTube,Fire Stick users,Get premium channels without cable contracts | 1-year service included on device bundles,Get premium channels without cable contracts. 1-year service included on device bundles. 1-year service included on device bundles. Fast setup with clear step-by-step guidance.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Visit StreamStickPro now,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0018,Facebook,Cord-cutters,"Stop paying cable prices | 18,000+ live channels","Stop paying cable prices. 18,000+ live channels and 100,000+ movies & series. 36-hour subscription trial available. Trusted by thousands of streamers.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Start your 36-hour subscription trial,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0019,YouTube,Returning IPTV users,Upgrade your streaming setup | Secure Stripe checkout with card + wallet options,Upgrade your streaming setup. Secure Stripe checkout with card + wallet options. 24/7 support and setup tutorials included. Easy renewals and support when you need it.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Compare plans and device bundles,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0020,Facebook,Families replacing cable,One app. Cleaner streaming experience | Shipping included on device bundles,One app. Cleaner streaming experience. Shipping included on device bundles. Shipping included on device bundles. No long contracts required for subscription plans.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Shop Fire Stick and ONN options,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0021,YouTube,Budget-conscious streamers,Built for Fire Stick and ONN | 24/7 support,"Built for Fire Stick and ONN. 24/7 support and setup tutorials included. Secure Stripe checkout with card + wallet options. Built for Fire Stick HD, 4K, 4K Max, and ONN devices.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,See pricing and start today,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0022,Facebook,ONN Google TV users,Ready in about 10 minutes | 36-hour subscription trial available,"Ready in about 10 minutes. 36-hour subscription trial available. 18,000+ live channels and 100,000+ movies & series. Works with IPTV Smarters Pro and TiviMate.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Get setup support and stream tonight,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0023,YouTube,Fire Stick users,Get premium channels without cable contracts | 1-year service included on device bundles,Get premium channels without cable contracts. 1-year service included on device bundles. 1-year service included on device bundles. Fast setup with clear step-by-step guidance.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Visit StreamStickPro now,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0024,Facebook,Cord-cutters,"Stop paying cable prices | 18,000+ live channels","Stop paying cable prices. 18,000+ live channels and 100,000+ movies & series. 36-hour subscription trial available. Trusted by thousands of streamers.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Start your 36-hour subscription trial,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0025,YouTube,Returning IPTV users,Upgrade your streaming setup | Secure Stripe checkout with card + wallet options,Upgrade your streaming setup. Secure Stripe checkout with card + wallet options. 24/7 support and setup tutorials included. Easy renewals and support when you need it.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Compare plans and device bundles,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0026,Facebook,Families replacing cable,One app. Cleaner streaming experience | Shipping included on device bundles,One app. Cleaner streaming experience. Shipping included on device bundles. Shipping included on device bundles. No long contracts required for subscription plans.,For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Shop Fire Stick and ONN options,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0027,YouTube,Budget-conscious streamers,Built for Fire Stick and ONN | 24/7 support,"Built for Fire Stick and ONN. 24/7 support and setup tutorials included. Secure Stripe checkout with card + wallet options. Built for Fire Stick HD, 4K, 4K Max, and ONN devices.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,See pricing and start today,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
AD-0028,Facebook,ONN Google TV users,Ready in about 10 minutes | 36-hour subscription trial available,"Ready in about 10 minutes. 36-hour subscription trial available. 18,000+ live channels and 100,000+ movies & series. Works with IPTV Smarters Pro and TiviMate.",For IPTV subscriptions and streaming device bundles. 36-hour trial applies to subscription plans only.,Get setup support and stream tonight,"jailbroken fire stick, onn google tv, iptv subscription, fire stick streaming, streamstickpro",Keep pricing synchronized with live product data. Avoid mentioning buffering claims.
